order,wiki_section,title,file,composer,theme,loop,loop_start_sec,loop_end_sec,duration_sec
1,Title Screen,萃夢想,sys00_op.wav,U2,系统/剧情,循环,6.856,94.943,95.945
2,Hakurei Shrine 1,東方妖恋談,00a.wav,NKZ,昼主题曲,循环,2.085,83.77,84.77
3,Hakurei Shrine 2,少女綺想曲　～ Capriccio,00b.wav,U2,夜舞台版,循环,6.345,71.799,72.799
4,Forest of Magic (Kirisame) 1,恋色マジック,01a.wav,NKZ,昼主题曲,循环,3.142,62.377,63.377
5,Forest of Magic (Kirisame) 2,魔女達の舞踏会,01b.wav,U2,夜舞台版,循环,0.617,65.482,66.479
6,Clock Tower of SDM 1,メイドと血の懐中時計,02a.wav,NKZ,昼主题曲,循环,1.222,101.709,102.709
7,Clock Tower of SDM 2,月時計　～ ルナ・ダイアル,02b.wav,U2,夜舞台版,循环,1.737,85.215,86.454
8,Forest of Magic (Margatroid) 1,ブクレシュティの人形師,03a.wav,NKZ,昼主题曲,循环,3.124,118.473,119.474
9,Forest of Magic (Margatroid) 2,人形裁判,03b.wav,U2,夜舞台版,循环,2.431,63.849,64.888
10,Great Library of SDM 1,ラクトガール　～ 少女密室,04a.wav,NKZ,昼主题曲,循环,2.752,102.514,103.514
11,Great Library of SDM 2,ヴワル魔法図書館,04b.wav,U2,夜舞台版,循环,13.059,87.326,88.358
12,Graveyard 1,広有射怪鳥事　～ Till When?,05a.wav,NKZ,昼主题曲,循环,2.809,69.8,70.8
13,Graveyard 2,東方妖々夢　～ Ancient Temple,05b.wav,U2,夜舞台版,循环,14.48,85.832,86.895
14,Lobby in SDM,亡き王女の為のセプテット,06a.wav,NKZ,昼主题曲,循环,23.498,71.493,72.493
15,Hakugyokurou,幽雅に咲かせ、墨染の桜　～ Border of Life,07a.wav,NKZ,昼主题曲,循环,12.02,54.694,55.694
16,Hakurei Shrine (Feast Day),Demystify Feast,00c.wav,ZUN,特殊阶段,循环,10.002,138.89,139.89
17,Hakurei Shrine (Border),夜が降りてくる　～ Evening Star,08a.wav,ZUN,昼主题曲,循环,5.998,146.901,147.901
18,Gensokyo,御伽の国の鬼が島　～ Missing Power,09a.wav,ZUN,昼主题曲,循环,3.506,195.358,196.358
19,Ending Theme,夏明き,53.wav,NKZ,系统/剧情,循环,3.912,57.257,58.257
20,Credits,東方萃夢想,sys99_ed.wav,U2,系统/剧情,不循环,,,83.58
21,Pre-battle 1,魔所,51.wav,NKZ,系统/剧情,循环,1.029,33.028,34.028
22,Pre-battle 2,月輪,52.wav,NKZ,系统/剧情,循环,6.961,18.087,18.636
23,Pre-battle 3,遍参,54.wav,NKZ,系统/剧情,循环,3.074,75.066,76.066
24,Pre-battle 4,裏心,56.wav,NKZ,系统/剧情,循环,0.64,21.518,22.518
25,Pre-battle 5,Intermezzo,57.wav,NKZ,系统/剧情,循环,3.43,30.128,31.128
26,Pre-battle 6,あゆのかぜ,58.wav,NKZ,系统/剧情,循环,1.573,38.985,39.985
27,Pre-battle 7,森閑,67.wav,U2,系统/剧情,循环,1.751,41.753,42.823
28,Pre-battle 8,仰空,62.wav,U2,系统/剧情,循环,3.613,42.014,47.003
29,Pre-battle 9,幽境,59.wav,U2,系统/剧情,循环,1.061,36.004,37.088
30,Pre-battle 10,珍客,68.wav,U2,系统/剧情,循环,2.998,50.999,52.048
31,Pre-battle 11,紅夜,60.wav,U2,系统/剧情,循环,1.576,35.868,36.897
32,Pre-battle 12,戦迅,61.wav,U2,系统/剧情,循环,3.565,40.022,41.082
33,Pre-battle 13,禍機,65.wav,U2,系统/剧情,循环,4.012,36.013,37.059
34,Pre-battle 14,砕月,63.wav,U2,系统/剧情,循环,2.907,47.909,48.913
