order,wiki_section,title,file,composer,theme,loop,loop_start_sec,loop_end_sec,duration_sec
1,Title Screen theme,君はあの影を見たか？,op2.ogg,U2 Akiyama,,循环,7.456,97.936,104.078
2,VS Select theme,萃夢想,select.ogg,U2 Akiyama,,循环,4.003,92.003,95.999
3,Pre-Battle,伝説の巨神,ta20.ogg,U2 Akiyama,,循环,21.079,64.018,68.789
4,Pre-Battle,ぼくらの非想天則,ta21.ogg,U2 Akiyama,,循环,6.807,82.52,85.367
5,Pre-Battle,人形のある風景,ta22.ogg,U2 Akiyama,,循环,4.997,61.724,65.306
6,Staff Roll theme,悠久の蒸気機関,sr2.ogg,U2 Akiyama,,不循环,,,100.066
7,Sanae Kochiya's theme / Moriya Shrine,信仰は儚き人間の為に,st30.ogg,U2 Akiyama,,循环,16.974,96.976,102.822
8,Cirno's theme / Around the Misty Lake,おてんば恋娘,st31.ogg,U2 Akiyama,,循环,12.342,89.395,97.185
9,Hong Meiling's theme / The Geyser Underground Center Entrance,上海紅茶館　～ Chinese Tea,st32.ogg,U2 Akiyama,,循环,9.011,95.411,105.12
10,Utsuho Reiuji's theme / The Geyser Underground Center Passageway,霊知の太陽信仰　～ Nuclear Fusion,st33.ogg,U2 Akiyama,,循环,5.831,91.165,96.088
11,Suwako Moriya's theme,明日ハレの日、ケの昨日,st34.ogg,U2 Akiyama,,循环,3.834,91.403,97.378
12,CPU Last Stage theme / Nuclear Reactor Fusion Core,アンノウンＸ　～ Unfound Adventure,st35.ogg,ZUN,,循环,10.981,165.953,176.03
13,Sanae vs Suwako,空に浮かぶ物体Ｘ,st36.ogg,ZUN,,循环,36.683,58.626,62.422
14,Reimu Hakurei's theme / Pristine Hakurei Shrine,二色蓮花蝶　～ Ancients,st40.ogg,U2 Akiyama,,循环,2.861,94.06,105.627
15,Marisa Kirisame's theme / Kirisame Magic Shop new theme,恋色マジック,st41.ogg,U2 Akiyama,,循环,11.178,102.035,105.51
16,Alice Margatroid's theme / Forest of Dolls new theme,the Grimoire of Alice,st42.ogg,U2 Akiyama,,循环,13.955,101.842,108.542
17,Patchouli Knowledge's theme / Scarlet Devil Mansion Library new theme,ヴワル魔法図書館,st43.ogg,U2 Akiyama,,循环,17.348,91.635,95.332
18,"Reimu's Round 3 ""Innate Dream"" Theme",東方妖恋談 (世紀末バージョン),st99.ogg,U2 Akiyama,,循环,6.609,40.895,43.731
